node   1  (   0,    0) (   6,    3) (  11,    4) (  14,    8) (  16,   14) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18)
          (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18)
          (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18)
          (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18)
          (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18) (  18,   18)
          (  18,   18) (  13,   18) (  14,   17) (  16,   15) (  15,   14) (  15,   14) (  15,   15) (  15,   17) (  17,   17) (  15,   16)
          (  15,   17) (  16,   15) (  14,   16) (  14,   15) (  15,   14) (  17,   16) (  16,   15) (  14,   16) (  15,   15) (  15,   16)
          (  15,   16) (  14,   15) (  16,   16) (  15,   14) (  17,   17) (  16,   14) (  14,   14) (  16,   18) (  16,   16) (  17,   15)
          (  13,   15) (  18,   17) (  16,   15) (  14,   17) (  13,   13) (  17,   14) (  17,   17) (  17,   16) (  15,   18) (  17,   17)
          (  16,   15) (  17,   16) (  14,   15) (  16,   17) (  15,   16) (  17,   15) (  18,   17) (  18,   17) (  17,   17) (  16,   16)
          (  17,   17) (  13,   13) (  17,   15) (  16,   14) (  14,   15) (  12,   14) (  13,   16) (  14,   11) (  12,   12) (  15,   15)
          (  13,   12) (  16,   12) (  14,   13) (  12,   14) (  15,   13) (  15,   13) (  15,   16) (  14,   12) (  14,   13) (  16,   13)
          (  13,   13) (  16,   14) (  14,   13) (  14,   16) (  11,   12) (  11,   13) (  13,   13) (  13,   12) (  13,   13) (  13,   13)
          (  13,   14) (  11,   14) (  14,   11) (  15,   12) (  14,   15) (  14,   15) (  16,   14) (  12,   12) (  14,   16) (  13,   14)
          (  15,   16) (  13,   12) (  14,   14) (  14,   13) (  13,   13) (  16,   15) (  16,   13) (  13,   15) (  11,   12) (  16,   13)
          (  15,   11) (  14,   16) (  13,   14) (  15,   12) (  13,   12) (  15,   15) (  14,   14) (  11,   15) (  16,   13) (  15,   11)
          (  13,   14) (  14,   15) (  12,   15) (  12,   14) (  13,   13) (  14,   13) (  14,   13) (  13,   14) (  13,   14) (  15,   14)
          (  14,   15) (  12,   16) (  13,   14) (  14,   13) (  14,   15) (  13,   14) (  15,   13) (  14,   14) (  15,   16) (  15,   14)
          (  13,   13) (  12,   14) (  12,   13) (  14,   11) (  16,   14) (  14,   15) (  15,   15) (  14,   13) (  16,   16) (  12,   16)
          (  14,   13) (  12,   13) (  13,   15) (  13,   14) (  14,   13) (  15,   14) (  15,   14) (  14,   13) (  14,   13) (  15,   15)
          (  12,   13) (  13,   15) (  16,   13) (  12,   13) (  14,   14) (  15,   12) (  12,   13) (  14,   16) (  15,   15) (  13,   13)
          (  14,   16) (  14,   12) (  13,   12) (  14,   15) (  13,   14) (  14,   13) (  15,   12) (  12,   15) (  12,   15) (  12,   13)
          (  13,   12) (  12,   12) (  11,   12) (  13,   14) (  12,   11) (  13,   13) (  15,   14) (  13,   15) (  14,   13) (  12,   10)
          (  14,   15) (  15,   14) (  15,   15) (  14,   15) (  14,   15) (  10,   12) (  16,   14) (  14,   14) (  12,   13) (  14,   16)
          (  15,   14) (  14,   13) (  12,   11) (  14,   15) (  14,   14) (  15,   13) (  15,   13) (  16,   16) (  12,   12) (  15,   15)
          (  15,   12) (  12,   13) (  14,   14) (  12,   13) (  14,   12) (  16,   15) (  13,   14) (  13,   14) (  14,   13) (  14,   14)
          (  14,   12) (  13,   11) (  15,   15) (  13,   13) (  15,   16) (  15,   15) (  16,   16) (  14,   14) (  13,   13) (  14,   14)
          (  14,   15) (  14,   14) (  14,   14) (  15,   16) (  13,   12) (  14,   15) (  13,   15) (  13,   13) (  12,   13) (  15,   16)
          (  13,   13) (  16,   14) (  13,   11) (  13,   14) (  16,   15) (  14,   12) (  10,   15) (  13,   14) (  15,   10) (  13,   16)
          (  12,   14) (  11,   12) (  15,   14) (  15,   13) (  14,   15) (  14,   14) (  14,   14) (  13,   15) (  11,   13) (  13,   14)
          (  14,   14) (  16,   14) (  16,   15) (  16,   16) (  16,   16) (  16,   16) (  16,   16) (  16,   16) (  16,   16) (  16,   16)
